"","district","state","year.x","ins.units","farmers","loanee","nonloanee","area.ins","farmers.premium","state.premium","goi.premium","gross.premium","sum.insured","male.pt","female.pt","othergen.pt","sc.pt","st.pt","obc.pt","gen.pt","marginal.pt","small.pt","othertype.pt","jan.rf","jan.ptdef","feb.rf","feb.ptdef","mar.rf","mar.ptdef","apr.rf","apr.ptdef","may.rf","may.ptdef","jun.rf","jun.ptdef","jul.rf","jul.ptdef","aug.rf","aug.ptdef","sep.rf","sep.ptdef","oct.rf","oct.ptdef","nov.rf","nov.ptdef","dec.rf","dec.ptdef","area","prod","yield","Dist Code","year.y","State Code","icr2017_area","icr2017_prod","icr2017_yield","f.it"
"243","Darrang","Assam",2020,4,12774,147,15144,6.77,0.25,92.83,29.18,122.26,3952.5,0.8304,0.1691,5e-04,0.0033,0.0012,0.0796,0.9159,0.1209,0.8534,0.0257,"6.2","-0.64","7","-0.74","9","-0.86","37.9","-0.8","125.9","-0.58","159.5","-0.62","206.9","-0.38",45.5,-0.83,86.1,-0.63,40.3,-0.64,"2","-0.89","0","-1",13.314,104680,29.53,602,2017,17,126.71,218.44,19830,0.0534290900481414
"244","Darrang","Assam",2019,4,18207,119,18678,14.79,11.32,208.31,43.92,263.55,8784.99,0.8754,0.1244,2e-04,0.0109,0.0042,0.1828,0.8021,0.6685,0.3212,0.0103,"1","-0.94","7","-0.74","114.3","0.8","334","0.79","282.3","-0.06","63.6","-0.85","75.3","-0.78",65.2,-0.76,164.8,-0.29,74.5,-0.32,"0","-1","0","-1",13.017,117505,37.06,602,2017,17,126.71,218.44,19830,0.116723226264699
"245","Darrang","Assam",2021,4,24023,1149,23003,7.05,0.37,87.53,37.67,125.57,4185.87,0.7979,0.2021,0,6e-04,0.0022,0.0215,0.9757,0.008,0.9905,0.0015,"2","-0.88","0","-1","4","-0.94",".",".",".",".","283","-0.32","193.3","-0.42",110.5,-0.59,255.2,0.1,50.7,-0.54,"2","-0.89","0","-1",12.946,104107,30.93,602,2017,17,126.71,218.44,19830,0.0556388603898666
"246","Datia","Madhya Pradesh",2019,115,26331,43552,21,66.71,332.99,861.18,861.18,2055.35,16649.57,0.9556,0.0417,0.0027,0.0692,0.0063,0.7178,0.2067,0.1213,0.5407,0.338,"0.7","-0.91","29","2.26","0","-1","7.7","1.02","7.2","-0.06","52.7","-0.27","301.3","0.2",155.4,-0.43,210.6,0.31,15.1,-0.49,"0","-1","7.7","-0.02",194.378,166388.66,11.13,25,2017,6,309.75,532.61,18083,0.215367231638418
"247","Datia","Madhya Pradesh",2021,208,24444,32604,30,57.52,299.42,2094.87,2094.87,4489.16,14970.95,0.9446,0.0536,0.0018,0.0716,0.0066,0.7089,0.2129,0.1224,0.5492,0.3284,"0.8","-0.91","1.7","-0.81","1.9","-0.58","0","-1","48.7","5.4","59.2","-0.18","224.9","-0.11",251.7,-0.07,171.4,0.07,125.4,3.27,"1.2","-0.77","9.5","0.22",174.387,226013.21,15.76,25,2017,6,309.75,532.61,18083,0.185698143664245
"248","Datia","Madhya Pradesh",2020,176,22435,31951,130,51.24,203.96,893.79,893.79,1991.54,10198.04,0.9557,0.0424,0.0019,0.0709,0.0066,0.7241,0.1984,0.1062,0.5567,0.3371,"34.5","3.01","0","-1","15.3","2.47","8.5","1.25","16.8","1.21","109.9","0.52","206","-0.18",211.1,-0.22,30.5,-0.81,0,-1,"10.5","0.97","0","-1",204.268,212809,10.77,25,2017,6,309.75,532.61,18083,0.165423728813559
"249","Datia","Madhya Pradesh",2018,88,24566,30156,496,61.87,484.76,335.15,335.15,1155.06,24237.97,0.947,0.0506,0.0024,0.1039,0.0333,0.6487,0.2141,0.2618,0.4001,0.3381,"0","-1","2.3","-0.73","0","-1","9.2","1.71","6.5","-0.02","67.1","0.08","452.5","0.84",188.3,-0.36,237.9,0.36,0,-1,"0","-1","0","-1",167.186,119663.33,15.94,25,2017,6,309.75,532.61,18083,0.199741727199354
"250","Dausa","Rajasthan",2018,265,36005,49993,2,42.21,273.1,253.86,253.86,780.82,13654.92,0.8964,0.103,6e-04,0.0786,0.4622,0.2947,0.1645,0.274,0.5456,0.1804,"0.8","-0.91","0","-1","0","-1","0","-1","4.4","-0.66","122.6","1.34","171","-0.28",164.8,-0.28,134.4,0.42,0,-1,"0","-1","2.2","-0.46",176.137,292788,11.5,537,2017,10,350.79,760.23,20863,0.1203284016078
"251","Dausa","Rajasthan",2020,272,66462,83314,223,49.24,380.94,1007.71,998.61,2387.26,19047.1,0.8941,0.1052,7e-04,0.0894,0.4158,0.3332,0.1616,0.2335,0.6726,0.0939,"0","-1","0","-1","13","2.1","4","-0.17","31.6","1.08","42.8","-0.29","139","-0.38",266.6,0.29,27.6,-0.7,0,-1,"10.6","1.47","0","-1",185.731,353219,14.28,537,2017,10,350.79,760.23,20863,0.140368881667094
"252","Dausa","Rajasthan",2019,267,50980,67146,2593,58.89,286.61,499.78,499.78,1286.17,14330.61,0.9082,0.0915,3e-04,0.089,0.4177,0.3271,0.1662,0.2523,0.6147,0.133,"13.8","1.12","2.8","-0.68","0","-1","18.8","2.92","8.2","-0.46","45.2","-0.25","259","0.15",273.5,0.32,69.4,-0.26,24.2,0.83,"0","-1","3.6","-0.16",178.58,334449,10.75,537,2017,10,350.79,760.23,20863,0.167878217737108
